participant,session,run,trial,t_sec,code,label
sub-01,001,1,0,0.00786,250,run_start
sub-01,001,1,0,0.01528,30,cooldown
sub-01,001,1,1,0.24656,14,precue_feet
sub-01,001,1,1,3.24583,24,mi_feet
sub-01,001,1,1,4.74715,30,pause
sub-01,001,1,2,6.24644,13,precue_right
sub-01,001,1,2,9.2459,23,mi_right
sub-01,001,1,2,10.74974,30,pause
sub-01,001,1,3,12.24552,12,precue_left
sub-01,001,1,3,15.2497,22,mi_left
sub-01,001,1,3,16.75058,30,pause
sub-01,001,1,4,18.25059,11,precue_rest
sub-01,001,1,4,21.25001,21,mi_rest
sub-01,001,1,4,22.75046,30,pause
sub-01,001,1,4,24.25054,251,run_end
sub-01,001,2,4,0.00626,250,run_start
sub-01,001,2,4,0.01497,30,cooldown
sub-01,001,2,1,1.50698,11,precue_rest
sub-01,001,2,1,4.50618,21,mi_rest
sub-01,001,2,1,6.00621,30,pause
sub-01,001,2,2,7.50699,12,precue_left
sub-01,001,2,2,10.5068,22,mi_left
sub-01,001,2,2,12.0061,30,pause
sub-01,001,2,3,13.51306,13,precue_right
sub-01,001,2,3,16.51316,23,mi_right
sub-01,001,2,3,18.01312,30,pause
sub-01,001,2,4,19.51314,14,precue_feet
sub-01,001,2,4,22.51357,24,mi_feet
sub-01,001,2,4,24.01298,30,pause
sub-01,001,2,4,25.51305,251,run_end
