participant,session,run,trial,t_sec,code,label
sub-01,001,1,0,0.00581,250,run_start
sub-01,001,1,1,0.50808,30,pause
sub-01,001,1,1,1.47054,14,precue_feet
sub-01,001,1,1,2.96402,24,mi_feet
sub-01,001,1,2,4.47115,30,pause
sub-01,001,1,2,5.97042,11,precue_rest
sub-01,001,1,2,7.47039,21,mi_rest
sub-01,001,1,3,8.97117,30,pause
sub-01,001,1,3,10.47115,13,precue_right
sub-01,001,1,3,11.97036,23,mi_right
sub-01,001,1,4,13.47037,30,pause
sub-01,001,1,4,14.97107,12,precue_left
sub-01,001,1,4,16.47033,22,mi_left
