participant,session,run,trial,t_sec,code,label
sub-01,001,1,0,0.00668,250,run_start
sub-01,001,1,1,0.50751,30,pause
sub-01,001,1,1,1.46414,14,precue_feet
sub-01,001,1,1,2.96483,24,mi_feet
sub-01,001,1,2,4.46447,30,pause
sub-01,001,1,2,5.9648,13,precue_right
sub-01,001,1,2,7.47234,23,mi_right
sub-01,001,1,3,8.97286,30,pause
sub-01,001,1,3,10.47246,12,precue_left
sub-01,001,1,3,11.97178,22,mi_left
sub-01,001,1,4,13.47179,30,pause
sub-01,001,1,4,14.96427,11,precue_rest
sub-01,001,1,4,16.47379,21,mi_rest
sub-01,001,1,4,17.97174,251,run_end
sub-01,001,2,4,0.00774,250,run_start
sub-01,001,2,1,0.50925,30,pause
sub-01,001,2,1,1.50749,12,precue_left
sub-01,001,2,1,3.0081,22,mi_left
sub-01,001,2,2,4.50721,30,pause
sub-01,001,2,2,6.008,14,precue_feet
sub-01,001,2,2,7.50746,24,mi_feet
sub-01,001,2,3,9.0078,30,pause
sub-01,001,2,3,10.50748,13,precue_right
sub-01,001,2,3,12.00751,23,mi_right
sub-01,001,2,4,13.50785,30,pause
sub-01,001,2,4,15.01441,11,precue_rest
sub-01,001,2,4,16.51511,21,mi_rest
sub-01,001,2,4,18.01441,251,run_end
