participant,session,run,trial,t_sec,code,label
sub-01,001,1,0,0.00669,250,run_start
sub-01,001,1,1,0.50785,30,pause
sub-01,001,1,1,1.46393,13,precue_right
sub-01,001,1,1,2.97123,23,mi_right
sub-01,001,1,2,4.47128,30,pause
sub-01,001,1,2,5.97122,12,precue_left
sub-01,001,1,2,7.47122,22,mi_left
sub-01,001,1,3,8.97118,30,pause
sub-01,001,1,3,10.46382,11,precue_rest
sub-01,001,1,3,11.97116,21,mi_rest
sub-01,001,1,4,13.47119,30,pause
sub-01,001,1,4,14.97116,14,precue_feet
sub-01,001,1,4,16.47115,24,mi_feet
sub-01,001,1,4,17.97163,251,run_end
